AthleteGUID,AthleteName,AthleteGender,Nationality
1274607,Madeline Shott,W         ,GBR
1272562,Ryan Mcflynn,M         ,GBR
1291239,Nick Bowker,M         ,GBR
1263240,Mark Smith,M         ,GBR
1271127,Tom Roche,M         ,GBR
1290272,Archie Yeo,M         ,GBR
1234329,Hannah Moat,W         ,GBR
1267313,Henry Nwoke,M         ,GBR
1250811,Tyler Panton,M         ,GBR
1216186,Oliver Carvell,M         ,GBR
1251999,Daniel Joyce,M         ,GBR
1215033,Stephanie Moss,W         ,GBR
1187102,Annie Testar,W         ,GBR
1263300,Cleo Martin-Evans,W         ,GBR
1268744,Taia Tunstall,W         ,GBR
1076708,Jason Smyth,M         ,GBR
1255371,Diane Mapamboli,W         ,GBR
1250061,Henry McLuckie,M         ,GBR
1269138,Annabel Granger,W         ,GBR
1175222,Charlotte Taylor-Green,W         ,GBR
1171189,Katy Wood,W         ,GBR
1143406,Gemma Rankin,W         ,GBR
1163221,Natasha Cockram,W         ,GBR
1248292,Sam Brereton,M         ,GBR
1240599,Skye Wicks,W         ,GBR
1261347,Kaliyah Young,W         ,GBR
1278498,Glen Quayle,M         ,GBR
1287771,Bailey Swift,M         ,GBR
1247459,Toby Makoyawo,M         ,GBR
1226590,Hannah Foster,W         ,GBR
1286378,Gemma Jones,W         ,GBR
1249916,Nikki Johnstone,M         ,GBR
1239691,Naomi Toft,W         ,GBR
1210786,John Sanderson,M         ,GBR
1217684,Joe Wilkinson,M         ,GBR
1249177,Jodie Albrow,W         ,GBR
1267722,Samuel Heawood,M         ,GBR
1174560,Olivia Montez-Brown,W         ,GBR
1293439,Joshua Snook,M         ,GBR
1093043,Chris Craig,M         ,GBR
1176236,George Mills,M         ,GBR
1179728,Patrick Taylor,M         ,GBR
1132238,Adam Clarke,M         ,GBR
1139604,Charlotte Arter,W         ,GBR
1170492,Jenny Nesbitt,W         ,GBR
1168158,Jamie Williamson,M         ,GBR
1175499,Chelsea Walker,W         ,GBR
1289104,Melissa Evans,W         ,GBR
1214262,Michael Parry,M         ,GBR
1248518,Ella Greenway,W         ,GBR
1290839,Ella Blakey,W         ,GBR
1245489,Venus Morgan,W         ,GBR
