AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompName,CompVenue,ValidPerformance,EventWind
1144987,142291,3147766,06/08/2024,Javelin Throw,outdoor,87.76,metres,3,Quarter-finals,OG,Paris,1,NULL
1120272,142291,3148401,08/08/2024,Javelin Throw,outdoor,87.72,metres,5,Finals,OG,Paris,1,NULL
1176334,112541,2659411,07/08/2021,Javelin Throw,outdoor,87.58,metres,1,Finals,OG,Tokyo,1,NULL
1239491,126941,2831950,20/07/2022,5000m,outdoor,953.39,seconds,14,Heats,WC,Eugene OR,1,NULL
1239491,112541,2658108,30/07/2021,5000m,outdoor,904.95,seconds,12,Heats,OG,Tokyo,1,NULL
1239064,81430,2428905,29/09/2019,800m,outdoor,106.61,seconds,6,Semi-finals,WC,Doha,1,NULL
1239064,81430,2452402,28/09/2019,800m,outdoor,106.07,seconds,1,Heats,WC,Doha,1,NULL
1239064,134418,2988794,24/08/2023,800m,outdoor,105.56,seconds,8,Semi-finals,WC,Budapest,1,NULL
1239064,134418,2988487,22/08/2023,800m,outdoor,107.63,seconds,1,Heats,WC,Budapest,1,NULL
1238881,123073,2753730,19/03/2022,60m Hurdles,indoor,8.25,seconds,4,Heats,WC,Beograd,1,NULL
1238093,112541,2658025,30/07/2021,800m,outdoor,121.98,seconds,4,Heats,OG,Tokyo,1,NULL
1236851,126941,2830535,16/07/2022,10000m,outdoor,1909.29,seconds,18,Finals,WC,Eugene OR,1,NULL
1266876,142291,3147403,05/08/2024,800m,outdoor,118.28,seconds,6,Finals,OG,Paris,1,NULL
1265788,134418,2988228,21/08/2023,400m Hurdles,outdoor,56.61,seconds,7,Heats,WC,Budapest,1,NULL
1265118,134418,2988540,22/08/2023,100m Hurdles,outdoor,13.47,seconds,8,Heats,WC,Budapest,1,0.1
1265118,135095,3033608,03/03/2024,60m Hurdles,indoor,8.04,seconds,6,Semi-finals,WC,Glasgow,1,NULL
1265118,135095,3031041,02/03/2024,60m,indoor,7.35,seconds,6,Heats,WC,Glasgow,1,NULL
1265118,142291,3148405,08/08/2024,100m Hurdles,outdoor,12.88,seconds,3,Quarter-finals,OG,Paris,1,0.1
1265118,142291,3148216,07/08/2024,100m Hurdles,outdoor,13.08,seconds,6,Heats,OG,Paris,1,-0.6
1265118,135095,3021595,03/03/2024,60m Hurdles,indoor,8.1,seconds,4,Heats,WC,Glasgow,1,NULL
1265118,142291,3146954,02/08/2024,100m,outdoor,11.44,seconds,6,Heats,OG,Paris,1,-0.4
1265118,123073,2753730,19/03/2022,60m Hurdles,indoor,8.17,seconds,6,Heats,WC,Beograd,1,NULL
1265118,123073,2753672,18/03/2022,60m,indoor,7.35,seconds,5,Heats,WC,Beograd,1,NULL
1265118,123073,2753817,19/03/2022,60m Hurdles,indoor,8.22,seconds,8,Semi-finals,WC,Beograd,1,NULL
1264959,123073,2753622,18/03/2022,400m,indoor,47.8,seconds,4,Heats,WC,Beograd,1,NULL
1264959,112541,2658116,01/08/2021,400m,outdoor,46.81,seconds,7,Heats,OG,Tokyo,1,NULL
1264959,81430,2384172,01/10/2019,400m,outdoor,47.92,seconds,7,Heats,WC,Doha,1,NULL
1264518,142291,3147159,04/08/2024,200m,outdoor,23.31,seconds,7,Heats,OG,Paris,1,0.5
1264518,142291,3147259,05/08/2024,200m,outdoor,23.24,seconds,3,Quarter-finals,OG,Paris,1,0.6
1264409,142291,3148108,07/08/2024,800m,outdoor,105.73,seconds,2,Heats,OG,Paris,1,NULL
1264409,142291,3148496,09/08/2024,800m,outdoor,105.34,seconds,4,Semi-finals,OG,Paris,1,NULL
1264351,142291,3148366,08/08/2024,200m,outdoor,20.15,seconds,7,Finals,OG,Paris,1,0.4
